"Year","State","State ANSI","category","use","chem_name","chem_num","Value","measurement"
2023,"CALIFORNIA","06"," APPLICATIONS "," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"LB"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","CYCLANILIPROLE",26202,NA,"LB"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","PERMETHRIN",109701,NA,"LB"
2023,"CALIFORNIA","06"," APPLICATIONS "," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,"(NA)","LB"
2023,"CALIFORNIA","06"," APPLICATIONS "," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"LB / ACRE / APPLICATION, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","CYCLANILIPROLE",26202,NA,"LB / ACRE / APPLICATION, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","PERMETHRIN",109701,NA,"LB / ACRE / APPLICATION, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,"(NA)","LB / ACRE / APPLICATION, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"LB / ACRE / YEAR, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","CYCLANILIPROLE",26202,NA,"LB / ACRE / YEAR, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","PERMETHRIN",109701,NA,"LB / ACRE / YEAR, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,"(NA)","LB / ACRE / YEAR, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"NUMBER, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","CYCLANILIPROLE",26202,NA,"NUMBER, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," INSECTICIDE","PERMETHRIN",109701,NA,"NUMBER, AVG"
2023,"CALIFORNIA","06"," APPLICATIONS "," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA,"NUMBER, AVG"
2023,"CALIFORNIA","06"," TREATED "," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"PCT OF AREA BEARING, AVG"
2023,"CALIFORNIA","06"," TREATED "," INSECTICIDE","CYCLANILIPROLE",26202,NA,"PCT OF AREA BEARING, AVG"
2023,"CALIFORNIA","06"," TREATED "," INSECTICIDE","PERMETHRIN",109701,NA,"PCT OF AREA BEARING, AVG"
2023,"CALIFORNIA","06"," TREATED "," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA,"PCT OF AREA BEARING, AVG"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","AZOXYSTROBIN",128810,"3,300","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",16482,"(NA)","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","BACILLUS SUBTILIS",6479,"(NA)","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","BLAD",30006,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","BORAX DECAHYDRATE",11102,"2,800","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","BOSCALID",128008,"6,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19",6544,"(NA)","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","CAPTAN",81301,"603,100","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","CYFLUFENAMID",555550,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","CYPRODINIL",288202,"30,300","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","DIFENOCONAZOLE",128847,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","FENHEXAMID",90209,"8,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","FLUDIOXONIL",71503,"22,400","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","FLUOPYRAM",80302,"14,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","FLUXAPYROXAD",138009,"7,100","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","FOSETYL-AL",123301,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","ISOFETAMID",270000,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","MEFENOXAM",113502,"7,200","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","MONO-POTASSIUM SALT",76416,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","MYCLOBUTANIL",128857,"10,800","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","PENTHIOPYRAD",90112,"4,000","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","POLYOXIN D ZINC SALT",230000,"3,300","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","PROPICONAZOLE",122101,"2,300","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","PYDIFLUMETOFEN",90110,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","PYRACLOSTROBIN",99100,"10,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","PYRIMETHANIL",288201,"8,300","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","QUINOLINE",55459,"3,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","SULFUR",77501,"1,258,100","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","TETRACONAZOLE",120603,"1,300","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","THIOPHANATE-METHYL",102001,"10,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","THIRAM",79801,"269,500","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","CHEMICAL",NA,"2,338,800","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","TRIFLOXYSTROBIN",129112,"14,600","LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," FUNGICIDE","TRIFLUMIZOLE",128879,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," HERBICIDE","CARFENTRAZONE-ETHYL",128712,NA,"LB"
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS "," HERBICIDE","FLUMIOXAZIN",129034,"3,900","LB"
