"Year","Period","Geo Level","State","State ANSI","category","Domain","use","chem_name","chem_num","Value","measurement"
2024,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ADJUSTED BASE ","TOTAL",NA,"NOT SPECIFIED",NA,"10.9","$ / CWT"
2024,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ADJUSTED BASE ","TOTAL",NA,"NOT SPECIFIED",NA,"4.04","$ / TON"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"123","$ / CWT"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"142","$ / CWT"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"43.8","$ / CWT"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"121","$ / CWT"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,NA,"$ / CWT"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,NA,"$ / CWT"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"147","$ / CWT"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,NA,"$ / CWT"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,NA,"$ / CWT"
2023,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"142","$ / CWT"
2023,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","TOTAL",NA,"NOT SPECIFIED",NA,"43.8","$ / CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED","TOTAL",NA,"NOT SPECIFIED",NA,"56,800",NA
2023,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED","TOTAL",NA,"NOT SPECIFIED",NA,"57,300",NA
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"3,398,943,000","$"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"27,560,000","CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"1,378,000","TONS"
2023,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TOTAL",NA,"NOT SPECIFIED",NA,"485","CWT / ACRE"
2023,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TOTAL",NA,"NOT SPECIFIED",NA,"24.26","TONS / ACRE"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","TOTAL",NA,"NOT SPECIFIED",NA,"120","$ / CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG ","TOTAL",NA,"NOT SPECIFIED",NA,"120","$ / CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ADJUSTED BASE ","TOTAL",NA,"NOT SPECIFIED",NA,"10.8","$ / CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"3,173,579,000","$"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"22,382,200","CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"33,400","CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","TOTAL",NA,"NOT SPECIFIED",NA,"44.4","$ / TON"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED 10 YEAR AVG ","TOTAL",NA,"NOT SPECIFIED",NA,"44.4","$ / TON"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ADJUSTED BASE ","TOTAL",NA,"NOT SPECIFIED",NA,"4.05","$ / TON"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"225,364,000","$"
2023,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"5,144,400","CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"27,526,600","CWT"
2023,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"1,376,330","TONS"
2023,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED","TOTAL",NA,"NOT SPECIFIED",NA,"42,700",NA
2023,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED","TOTAL",NA,"NOT SPECIFIED",NA,"43,100",NA
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"LB"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE",26202,NA,"LB"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","PERMETHRIN",109701,NA,"LB"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,"(NA)","LB"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"LB / ACRE / APPLICATION, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE",26202,NA,"LB / ACRE / APPLICATION, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","PERMETHRIN",109701,NA,"LB / ACRE / APPLICATION, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,"(NA)","LB / ACRE / APPLICATION, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"LB / ACRE / YEAR, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE",26202,NA,"LB / ACRE / YEAR, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","PERMETHRIN",109701,NA,"LB / ACRE / YEAR, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,"(NA)","LB / ACRE / YEAR, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"NUMBER, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE",26202,NA,"NUMBER, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," INSECTICIDE","PERMETHRIN",109701,NA,"NUMBER, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," APPLICATIONS ","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA,"NUMBER, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"2,965,387,000","$"
2023,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","TOTAL",NA,"NOT SPECIFIED",NA,"24,600,000","CWT"
2023,"YEAR","STATE","CALIFORNIA","06"," TREATED ","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN",128111,NA,"PCT OF AREA BEARING, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," TREATED ","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE",26202,NA,"PCT OF AREA BEARING, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," TREATED ","CHEMICAL"," INSECTICIDE","PERMETHRIN",109701,NA,"PCT OF AREA BEARING, AVG"
2023,"YEAR","STATE","CALIFORNIA","06"," TREATED ","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003,NA,"PCT OF AREA BEARING, AVG"
